Village,Treatment,Site,Sci_name,Palatability,Weight,Scientific_name,Family,Life_form,General_terms,x,y,Functional_type,Functional_groups
APC9,bgrnf,APC9bgrnf,Mitracarpus hirtus,Yes,192,Mitracarpus hirtus (L.) DC.,Rubiaceae,Herb,Coffee family,13.87330434,78.52919306,Annual herb,Forb
APA10,bgrnf,APA10bgrnf,Oldenlandia umbellata,Yes,611,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.01957255,78.38249092,Annual/perennial herb,Forb
APA12,bgrnf,APA12bgrnf,Oldenlandia umbellata,Yes,202,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.0406286,78.3174365,Annual/perennial herb,Forb
APA18,bgpnf,APA18bgpnf,Oldenlandia umbellata,Yes,12,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.05877728,78.33773986,Annual/perennial herb,Forb
APA18,bgrnf,APA18bgrnf,Oldenlandia umbellata,Yes,12,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.05540854,78.34276519,Annual/perennial herb,Forb
APA1,bgrnf,APA1bgrnf,Oldenlandia umbellata,Yes,5,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.84898235,78.4284124,Annual/perennial herb,Forb
APA20,bgrnf,APA20bgrnf,Oldenlandia umbellata,Yes,85,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.07855213,78.32909996,Annual/perennial herb,Forb
APA21,bgrnf,APA21bgrnf,Oldenlandia umbellata,Yes,60,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.0087733,78.3203361,Annual/perennial herb,Forb
APA7,bgrnf,APA7bgrnf,Oldenlandia umbellata,Yes,19,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.02257643,78.38102775,Annual/perennial herb,Forb
APA8,bgrnf,APA8bgrnf,Oldenlandia umbellata,Yes,16,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,14.02132073,78.3810486,Annual/perennial herb,Forb
APC10,ab,APC10ab,Oldenlandia umbellata,Yes,15,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.86199189,78.43342618,Annual/perennial herb,Forb
APC12,ab,APC12ab,Oldenlandia umbellata,Yes,120,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.8698363,78.4179308,Annual/perennial herb,Forb
APC1,bgrnf,APC1bgrnf,Oldenlandia umbellata,Yes,30,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.84873331,78.42895372,Annual/perennial herb,Forb
APC2,bgpnf,APC2bgpnf,Oldenlandia umbellata,Yes,25,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.85048708,78.44295442,Annual/perennial herb,Forb
APC4,ab,APC4ab,Oldenlandia umbellata,Yes,28,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.8421781,78.4288606,Annual/perennial herb,Forb
APC5,bgpnf,APC5bgpnf,Oldenlandia umbellata,Yes,20,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.81476646,78.41896685,Annual/perennial herb,Forb
APC5,bgrnf,APC5bgrnf,Oldenlandia umbellata,Yes,21,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.80497605,78.41399812,Annual/perennial herb,Forb
APC6,ab,APC6ab,Oldenlandia umbellata,Yes,8,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.94070434,78.49388343,Annual/perennial herb,Forb
APC7,bgpnf,APC7bgpnf,Oldenlandia umbellata,Yes,19,Oldenlandia umbellata L.,Rubiaceae,Herb,Coffee family,13.94232155,78.50763286,Annual/perennial herb,Forb
APC12,ab,APC12ab,Parasopubia delphinifolia,Yes,8,Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch.,Orobanchaceae,Herb,Broomrape,13.8698363,78.4179308,Annual herb,Forb
APC1,bgrnf,APC1bgrnf,Parasopubia delphinifolia,Yes,147,Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch.,Orobanchaceae,Herb,Broomrape,13.84873331,78.42895372,Annual herb,Forb
APC2,bgrnf,APC2bgrnf,Parasopubia delphinifolia,Yes,44,Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch.,Orobanchaceae,Herb,Broomrape,13.89582345,78.47713731,Annual herb,Forb
APC4,bgrnf,APC4bgrnf,Parasopubia delphinifolia,Yes,25,Parasopubia delphiniifolia (L.) H.-P.Hofm. & Eb.Fisch.,Orobanchaceae,Herb,Broomrape,13.8435626,78.4210518,Annual herb,Forb
APA10,bgrnf,APA10bgrnf,Phyllanthus virgatus,Yes,7,Phyllanthus virgatus G.Forst.,Phyllanthaceae,Herb,Leafflower family,14.01957255,78.38249092,Annual herb,Forb
APA8,bgrnf,APA8bgrnf,Phyllanthus virgatus,Yes,8,Phyllanthus virgatus G.Forst.,Phyllanthaceae,Herb,Leafflower family,14.02132073,78.3810486,Annual herb,Forb
APA12,bgrnf,APA12bgrnf,Polycarpaea corymbosa,Yes,7,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,14.0406286,78.3174365,Annual herb,Forb
APA19,bgrnf,APA19bgrnf,Polycarpaea corymbosa,Yes,16,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,14.05936089,78.34454953,Annual herb,Forb
APA1,bgrnf,APA1bgrnf,Polycarpaea corymbosa,Yes,4,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,13.84898235,78.4284124,Annual herb,Forb
APA21,bgpnf,APA21bgpnf,Polycarpaea corymbosa,Yes,9,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,14.0091949,78.3198229,Annual herb,Forb
APA7,bgpnf,APA7bgpnf,Polycarpaea corymbosa,Yes,6,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,14.02114351,78.38002126,Annual herb,Forb
APA8,bgrnf,APA8bgrnf,Polycarpaea corymbosa,Yes,7,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,14.02132073,78.3810486,Annual herb,Forb
APC10,ab,APC10ab,Polycarpaea corymbosa,Yes,5,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,13.86199189,78.43342618,Annual herb,Forb
APC1,bgrnf,APC1bgrnf,Polycarpaea corymbosa,Yes,7,Polycarpaea corymbosa (L.) Lam.,Caryophyllaceae,Herb,Carnation family,13.84873331,78.42895372,Annual herb,Forb
