State,District,Habitation,Year,Plot_no,Latitude,Longitude,Fire
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,10,14.03854602,78.37735244,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,3,14.03911397,78.3793179,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,1,14.04057358,78.37950408,Yes
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,8,14.04083,78.37708833,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2018,7,14.04101,78.377795,No
Andhra Pradesh,Anantapur,Cheemalacheruvupalle,2019,2,14.04013738,78.37920402,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,1,13.84319,78.41559,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,7,13.84297,78.4184,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,9,13.84306,78.42092,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,6,13.84313,78.41682,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,8,13.84367,78.41976,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,10,13.84369,78.41533,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,5,13.84426,78.41724,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,2,13.84427,78.41614,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,4,13.84501,78.41934,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2017,3,13.84528,78.41689,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,3,13.844375,78.42239667,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,2,13.84537167,78.42328333,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,8,13.84373333,78.419585,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,10,13.843755,78.42318167,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,7,13.843965,78.41829167,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,1,13.84319,78.41559,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,9,13.84430333,78.41461833,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,3,13.84518667,78.41646,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,6,13.845255,78.418675,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,4,13.84600833,78.41653,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,5,13.84651667,78.41929667,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2018,2,13.84537167,78.42328333,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,8,13.84373333,78.419585,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,10,13.843755,78.42318167,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,7,13.843965,78.41829167,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,1,13.84319,78.41559,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,9,13.84430333,78.41461833,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,6,13.845255,78.418675,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,4,13.84580667,78.42127333,Yes
Andhra Pradesh,Chittoor,Chevitivaripalle,2019,5,13.84651667,78.41929667,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,5,13.82289,78.41141,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,4,13.82308,78.41236,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,2,13.82542,78.41368,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,8,13.82645,78.41212,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,10,13.82826,78.41241,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,4,13.82308667,78.41231167,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,1,13.826684,78.4138073,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,7,13.82595,78.41182,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,9,13.82774333,78.41183667,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,8,13.83396,78.41226167,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,10,13.83518333,78.41420833,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,6,13.83612667,78.41267667,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,5,13.83662167,78.41336167,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,4,13.83664833,78.41415833,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,3,13.83756833,78.41519,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,2,13.82542,78.41368,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2018,1,13.82678833,78.41369833,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,6,13.824855,78.41190167,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,2,13.82542,78.41368,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,1,13.82678833,78.41369833,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,9,13.82774333,78.41183667,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,8,13.83396,78.41226167,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,7,13.83501333,78.41202333,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,10,13.83518333,78.41420833,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,5,13.83662167,78.41336167,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2019,3,13.83756833,78.41519,Yes
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,3,13.82409,78.41312,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,7,13.825,78.41179,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,9,13.82769,78.41194,No
Andhra Pradesh,Chittoor,Chinnappagaripalle,2017,6,13.84437,78.41142,No
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,4,13.84704,78.42552,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,10,13.84758,78.42239,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,9,13.84759,78.42067,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,3,13.84794,78.42696,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,5,13.84842,78.42516,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,8,13.84858,78.42143,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,6,13.84908,78.42266,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,2,13.84934,78.42626,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,7,13.85,78.42136,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2019,5,13.84702333,78.42451333,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2019,10,13.84749333,78.42983833,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2017,1,13.84928,78.42886,No
Andhra Pradesh,Chittoor,Eguvaboyapalle,2019,4,13.848505,78.42519333,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2019,1,13.84885,78.42989333,No
Andhra Pradesh,Chittoor,Eguvaboyapalle,2019,2,13.849115,78.42840333,No
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,6,13.846665,78.42576333,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,8,13.84685833,78.42119167,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,5,13.84702333,78.42451333,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,7,13.84745167,78.41982167,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,10,13.84749333,78.42983833,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,4,13.848505,78.42519333,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,9,13.84857833,78.42132833,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,1,13.84885,78.42989333,Yes
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,2,13.849115,78.42840333,No
Andhra Pradesh,Chittoor,Eguvaboyapalle,2018,3,13.84913833,78.42650833,No
